REV.,PLC PANEL,RACK,SLOT,CHANNEL,ADDRESS,MODULE,TYPE,SIGNAL,INSTR./EQUIP. TAG,I/O TAG,CHILD,Description 1,Description 2,Description 3,Description 4,EQUIP/INSTR. DESCRIPTION,Automation System,Wiring,Failed State Value,Units,Engineering Units Min,Engineering Units Max,Low-Low Value,Low Value,High Value,High-High Value,PLC IO Address,Automation Notes,Breaker Type,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,01,00,06,I_0100-06,1756-IRT8I,RTD,0-5000,SL3-BC-M1-TE7,SL3-BC-M1-TE7,,Shiploader 3,Boom Conveyor Motor 1 Drive End,Bearing Temperature,RTD 1 ,Shiploader 3 Boom Conveyor Motor 1 Drive End Bearing Temperature RTD 1  ,,,,,,,,,,,RTD_0100.06,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,00,07,I_0100-07,1756-IRT8I,RTD,0-5000,SL3-BC-M1-TE8,SL3-BC-M1-TE8,,Shiploader 3,Boom Conveyor Motor 1 Non Drive End,Bearing Temperature,RTD 1,Shiploader 3 Boom Conveyor Motor 1 Non Drive End Bearing Temperature RTD 1 ,,,,,,,,,,,RTD_0100.07,,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,01,01,00,I_0101-00,1756-IF8I,AI,4-20mA,SL3-BC-HPU1-ZT1,SL3-BC-HPU1-ZT1,,Shiploader 3,Boom Conveyor Take-Up,Left Cylinder,Temposonic,Shiploader 3 Boom Conveyor Take-Up Left Cylinder Temposonic ,,,,,,,,,,,AI_0101_CH[00],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,01,I_0101-01,1756-IF8I,AI,4-20mA,SL3-BC-HPU1-ZT2,SL3-BC-HPU1-ZT2,,Shiploader 3,Boom Conveyor Take-Up,Right Cylinder,Temposonic,Shiploader 3 Boom Conveyor Take-Up Right Cylinder Temposonic ,,,,,,,,,,,AI_0101_CH[01],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,02,I_0101-02,1756-IF8I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0101_CH[02],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,03,I_0101-03,1756-IF8I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0101_CH[03],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,04,I_0101-04,1756-IF8I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0101_CH[04],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,05,I_0101-05,1756-IF8I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0101_CH[05],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,06,I_0101-06,1756-IF8I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0101_CH[06],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,01,07,I_0101-07,1756-IF8I,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0101_CH[07],,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,01,02,00,O_0102-00,1756-OF8I,AO,0-5000,,SPARE,,, ,,,  ,,,,,,,,,,,AO_0102_CH[00],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,02,01,O_0102-01,1756-OF8I,AO,0-5000,,SPARE,,, ,,,  ,,,,,,,,,,,AO_0102_CH[01],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,02,02,O_0102-02,1756-OF8I,AO,0-5000,,SPARE,,, ,,,  ,,,,,,,,,,,AO_0102_CH[02],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,02,03,O_0102-03,1756-OF8I,AO,0-5000,,SPARE,,, ,,,  ,,,,,,,,,,,AO_0102_CH[03],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,02,04,O_0102-04,1756-OF8I,AO,0-5000,,SPARE,,, ,,,  ,,,,,,,,,,,AO_0102_CH[04],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,02,05,O_0102-05,1756-OF8I,AO,0-5000,,SPARE,,, ,,,  ,,,,,,,,,,,AO_0102_CH[05],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,02,06,O_0102-06,1756-OF8I,AO,0-5000,,SPARE,,, ,,,  ,,,,,,,,,,,AO_0102_CH[06],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,02,07,O_0102-07,1756-OF8I,AO,0-5000,,SPARE,,, ,,,  ,,,,,,,,,,,AO_0102_CH[07],,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,01,03,00,I_0103-00,1756-IF16,AI,4-20mA,SL3-MEH-TIT1,SL3-MEH-TIT1,,Shiploader 3,Machine E-House ,,Temperature Transmitter,Shiploader 3 Machine E-House  Temperature Transmitter ,,Not wired,,,,,,,,,AI_0103_CH[00],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,03,01,I_0103-01,1756-IF16,AI,4-20mA,SL3-PD-PIT01,SL3-PD-PIT01,,Shiploader 3,Pivot Deck Washdown Pressure Transducer, Supply pressure,,Shiploader 3 Pivot Deck Washdown Pressure Transducer  Supply pressure ,,,,,,,,,,,AI_0103_CH[01],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,03,02,I_0103-02,1756-IF16,AI,4-20mA,SL3-WD-PIT01,SL3-WD-PIT01,,Shiploader 3,Belt Washbox Pressure Transducer,Air supply,,Shiploader 3 Belt Washbox Pressure Transducer Air supply ,,,,,,,,,,,AI_0103_CH[02],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,03,03,I_0103-03,1756-IF16,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0103_CH[03],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,03,04,I_0103-04,1756-IF16,AI,4-20mA,SL3-BC-GB1-TT1,SL3-BC-GB1-TT1,,Shiploader 3,Boom Conveyor Gearbox Oil,,Temperature Transmitter,Shiploader 3 Boom Conveyor Gearbox Oil Temperature Transmitter ,,,,,,,,,,,AI_0103_CH[04],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,03,05,I_0103-05,1756-IF16,AI,4-20mA,SL3-BC-TT1,SL3-BC-TT1,,Shiploader 3,Boom Conveyor Driven Pulley,Left Side Bearing,Temperature Transmitter,Shiploader 3 Boom Conveyor Driven Pulley Left Side Bearing Temperature Transmitter ,,,,,,,,,,,AI_0103_CH[05],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,03,06,I_0103-06,1756-IF16,AI,4-20mA,SL3-BC-TT2,SL3-BC-TT2,,Shiploader 3,Boom Conveyor Driven Pulley,Right Side Bearing,Temperature Transmitter,Shiploader 3 Boom Conveyor Driven Pulley Right Side Bearing Temperature Transmitter ,,,,,,,,,,,AI_0103_CH[06],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,03,07,I_0103-07,1756-IF16,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0103_CH[07],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,03,,,1492-AIFM16-F-3,,120V,,,,,,,,,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,01,04,00,I_0104-00,1756-IF16,AI,4-20mA,SL3-BC-HPU1-LT1,SL3-BC-HPU1-LT1,,Shiploader 3,Boom Conveyor Take-Up HPU,Oil Level,Transmitter,Shiploader 3 Boom Conveyor Take-Up HPU Oil Level Transmitter ,,,,,,,,,,,AI_0104_CH[00],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,04,01,I_0104-01,1756-IF16,AI,4-20mA,SL3-BC-HPU1-TT1,SL3-BC-HPU1-TT1,,Shiploader 3,Boom Conveyor Take-Up HPU,Oil Temperature,Transmitter,Shiploader 3 Boom Conveyor Take-Up HPU Oil Temperature Transmitter ,,,,,,,,,,,AI_0104_CH[01],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,04,02,I_0104-02,1756-IF16,AI,4-20mA,SL3-BC-HPU1-PIT1,SL3-BC-HPU1-PIT1,,Shiploader 3,Boom Conveyor Take-Up HPU,Accumulator,Pressure Transmitter,Shiploader 3 Boom Conveyor Take-Up HPU Accumulator Pressure Transmitter ,,,,,,,,,,,AI_0104_CH[02],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,04,03,I_0104-03,1756-IF16,AI,4-20mA,SL3-BC-HPU1-PT2,SL3-BC-HPU1-PT2,,Shiploader 3,Boom Conveyor Take-Up HPU,Take-Up Cylinder,Pressure Transmitter,Shiploader 3 Boom Conveyor Take-Up HPU Take-Up Cylinder Pressure Transmitter ,,,,,,,,,,,AI_0104_CH[03],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,04,04,I_0104-04,1756-IF16,AI,4-20mA,SL3-LU1-LIT1,SL3-LU1-LIT1,,Shiploader 3,Slew Lube Unit 1 ,,Level Transmitter,Shiploader 3 Slew Lube Unit 1  Level Transmitter ,,,,,,,,,,,AI_0104_CH[04],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,04,05,I_0104-05,1756-IF16,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0104_CH[05],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,04,06,I_0104-06,1756-IF16,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0104_CH[06],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,04,07,I_0104-07,1756-IF16,AI,4-20mA,,SPARE,,, ,,,  ,,,,,,,,,,,AI_0104_CH[07],,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,04,,,1492-AIFM16-F-3,,120V,,,,,,,,,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,01,05,00,I_0105-00,1756-IB16,DI,24VDC,SL3-BC-HPU1-OS1,SL3-BC-HPU1-OS1,,Shiploader 3,Boom Conveyor Take-Up HPU,Oil in Tray,Switch,Shiploader 3 Boom Conveyor Take-Up HPU Oil in Tray Switch ,,,,,,,,,,,DI_0105.00,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,01,I_0105-01,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.01,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,02,I_0105-02,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.02,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,03,I_0105-03,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.03,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,04,I_0105-04,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.04,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,05,I_0105-05,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.05,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,06,I_0105-06,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.06,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,07,I_0105-07,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.07,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,08,I_0105-08,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.08,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,09,I_0105-09,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.09,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,10,I_0105-10,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.10,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,11,I_0105-11,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.11,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,12,I_0105-12,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.12,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,13,I_0105-13,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.13,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,14,I_0105-14,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.14,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,15,I_0105-15,1756-IB16,DI,24VDC,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0105.15,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,05,,,1492-IFM20F-F24A-2,,24VDC,,,,,,,,,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,01,06,00,I_0106-00,1756-IA16,DI,120V,SL3-MEH-HVAC1-R4A,SL3-MEH-HVAC1-R4A,,Shiploader 3,Machine E-House HVAC Unit 1,Power On Relay,,Shiploader 3 Machine E-House HVAC Unit 1 Power On Relay ,Precomm,X,,,,,,,,,DI_0106.00,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,01,I_0106-01,1756-IA16,DI,120V,SL3-MEH-HVAC1-R4B,SL3-MEH-HVAC1-R4B,,Shiploader 3,Machine E-House HVAC Unit 1,Cooling 1 Alarm,Lockout Relay 1,Shiploader 3 Machine E-House HVAC Unit 1 Cooling 1 Alarm Lockout Relay 1 ,Precomm,X,,,,,,,,,DI_0106.01,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,02,I_0106-02,1756-IA16,DI,120V,SL3-MEH-HVAC1-R4C,SL3-MEH-HVAC1-R4C,,Shiploader 3,Machine E-House HVAC Unit 1,Cooling 2 Alarm,Lockout Relay 2,Shiploader 3 Machine E-House HVAC Unit 1 Cooling 2 Alarm Lockout Relay 2 ,Precomm,X,,,,,,,,,DI_0106.02,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,03,I_0106-03,1756-IA16,DI,120V,SL3-MEH-HVAC2-R5A,SL3-MEH-HVAC2-R5A,,Shiploader 3,Machine E-House HVAC Unit 2,Power On Relay,,Shiploader 3 Machine E-House HVAC Unit 2 Power On Relay ,Precomm,X,,,,,,,,,DI_0106.03,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,04,I_0106-04,1756-IA16,DI,120V,SL3-MEH-HVAC2-R5B,SL3-MEH-HVAC2-R5B,,Shiploader 3,Machine E-House HVAC Unit 2,Cooling 1 Alarm,Lockout Relay 1,Shiploader 3 Machine E-House HVAC Unit 2 Cooling 1 Alarm Lockout Relay 1 ,Precomm,X,,,,,,,,,DI_0106.04,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,05,I_0106-05,1756-IA16,DI,120V,SL3-MEH-HVAC2-R5C,SL3-MEH-HVAC2-R5C,,Shiploader 3,Machine E-House HVAC Unit 2,Cooling 2 Alarm,Lockout Relay 2,Shiploader 3 Machine E-House HVAC Unit 2 Cooling 2 Alarm Lockout Relay 2 ,Precomm,X,,,,,,,,,DI_0106.05,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,06,I_0106-06,1756-IA16,DI,120V,SL3-MEH-PPU1-LCP1,SL3-MEH-PPU1-LCP1-BR,-BR,Shiploader 3,Machine E-House Pressurization Unit 1,Blower Running,BR Relay Status,Shiploader 3 Machine E-House Pressurization Unit 1 Blower Running BR Relay Status ,,,,,,,,,,,DI_0106.06,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,07,I_0106-07,1756-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0106.07,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,08,I_0106-08,1756-IA16,DI,120V,SL3-MEH-NCP1-UPS1,SL3-MEH-NCP1-UPS1,,Shiploader 3,Machine E-House Network Control Panel,UPS1 Relay Out,UPS OK Status,Shiploader 3 Machine E-House Network Control Panel UPS1 Relay Out UPS OK Status ,Precomm,X,,,,,,,,,DI_0106.08,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,09,I_0106-09,1756-IA16,DI,120V,SL3-MEH-NCP1-UPS2,SL3-MEH-NCP1-UPS2,,Shiploader 3,Machine E-House Network Control Panel,UPS2 Relay Out,UPS OK Status,Shiploader 3 Machine E-House Network Control Panel UPS2 Relay Out UPS OK Status ,Precomm,X,,,,,,,,,DI_0106.09,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,10,I_0106-10,1756-IA16,DI,120V,SL3-MEH-NCP1-UPS3,SL3-MEH-NCP1-UPS3,,Shiploader 3,Machine E-House Network Control Panel,UPS3 Relay Out,UPS OK Status,Shiploader 3 Machine E-House Network Control Panel UPS3 Relay Out UPS OK Status ,Precomm,X,,,,,,,,,DI_0106.10,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,11,I_0106-11,1756-IA16,DI,120V,SL3-MEH-FCP1-CR0,SL3-MEH-FCP1-CR0,,Shiploader 3,Machine E-House Fire Alarm Panel,Fire Alarm,,Shiploader 3 Machine E-House Fire Alarm Panel Fire Alarm ,Precomm,,,,,,,,,,DI_0106.11,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,12,I_0106-12,1756-IA16,DI,120V,SL3-MEH-FCP1-CR1,SL3-MEH-FCP1-CR1,,Shiploader 3,Machine E-House Fire Alarm Panel,System Trouble,,Shiploader 3 Machine E-House Fire Alarm Panel System Trouble ,Precomm,X,,,,,,,,,DI_0106.12,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,13,I_0106-13,1756-IA16,DI,120V,SL3-MEH-FCP1-CR2,SL3-MEH-FCP1-CR2,,Shiploader 3,Machine E-House Fire Alarm Panel,System Supervisory,,Shiploader 3 Machine E-House Fire Alarm Panel System Supervisory ,Precomm,,,,,,,,,,DI_0106.13,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,14,I_0106-14,1756-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0106.14,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,15,I_0106-15,1756-IA16,DI,120V,,SPARE,,, ,,,  ,,,,,,,,,,,DI_0106.15,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,06,,,1492-IFM20F-F120A-2,,120V,,,,,,,,,,,,,,,,,,,,,,SL3-MEH-ACP1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,SL3-MEH-ACP1,01,07,00,I_0107-00,1756-IA16,DI,120V,SL3-BCB-ZLS1,SL3-BCB-ZLS1,,Shiploader 3,"Boom Conveyor Bridge Left Side, Tail End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Bridge Left Side, Tail End Misalignment Switch ",,,,,,,,,,,DI_0107.00,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,07,01,I_0107-01,1756-IA16,DI,120V,SL3-BCB-ZLS2,SL3-BCB-ZLS2,,Shiploader 3,"Boom Conveyor Bridge Right Side, Tail End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Bridge Right Side, Tail End Misalignment Switch ",,,,,,,,,,,DI_0107.01,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,07,02,I_0107-02,1756-IA16,DI,120V,SL3-BCB-ZLS3,SL3-BCB-ZLS3,,Shiploader 3,"Boom Conveyor Bridge Left Side, Head End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Bridge Left Side, Head End Misalignment Switch ",,,,,,,,,,,DI_0107.02,,,SL3-MEH-ACP1,,,,
A,SL3-MEH-ACP1,01,07,03,I_0107-03,1756-IA16,DI,120V,SL3-BCB-ZLS4,SL3-BCB-ZLS4,,Shiploader 3,"Boom Conveyor Bridge Right Side, Head End",,Misalignment Switch,"Shiploader 3 Boom Conveyor Bridge Right Side, Head End Misalignment Switch ",,,,,,,,,,,DI_0107.03,,,SL3-MEH-ACP1,,,,
